file_name	sentence_count	tok_count	word_count	split_type
CamelTB_1001_introduction_1	6	103	73	dev
CamelTB_1001_introduction_2	73	1091	730	dev
CamelTB_1001_introduction_3	47	563	398	dev
CamelTB_1001_introduction_4	23	325	238	dev
CamelTB_1001_introduction_5	62	959	657	train
CamelTB_1001_introduction_6	15	215	150	train
CamelTB_1001_night_1_1	39	648	436	train
CamelTB_1001_night_1_2	33	509	346	train
CamelTB_1001_night_2_1	43	692	479	train
CamelTB_1001_night_2_2	69	961	637	train
CamelTB_1001_night_2_3	28	387	263	train
CamelTB_1001_night_2_4	7	109	73	train
CamelTB_1001_night_3_1	52	796	558	train
CamelTB_1001_night_3_2	43	658	461	train
CamelTB_1001_night_4_1	17	310	220	train
CamelTB_1001_night_4_2	30	527	363	train
CamelTB_1001_night_4_3	36	535	362	train
CamelTB_1001_night_4_4	34	531	367	train
CamelTB_1001_night_4_5	5	74	55	train
CamelTB_1001_night_5_1	33	465	322	train
CamelTB_1001_night_5_2	34	520	359	train
CamelTB_1001_night_5_3	36	544	370	train
CamelTB_1001_night_5_4	36	546	378	train
CamelTB_1001_night_5_5	28	372	253	train
CamelTB_1001_night_6_1	24	424	296	train
CamelTB_1001_night_6_2	27	425	295	train
CamelTB_1001_night_6_3	28	389	283	train
CamelTB_1001_night_7_1	31	436	332	train
CamelTB_1001_night_7_2	34	492	349	train
CamelTB_1001_night_7_3	34	517	366	test
CamelTB_1001_night_7_4	34	515	355	test
CamelTB_1001_night_7_5	12	139	96	test
CamelTB_1001_night_8_1	23	349	239	test
CamelTB_1001_night_8_2	35	528	370	test
CamelTB_1001_night_8_3	34	455	311	test
