file_name	sentence_count	tok_count	word_count	split_type
CamelTB_BTEC_1	97	937	801	dev
CamelTB_BTEC_2	98	913	795	dev
CamelTB_BTEC_3	99	936	800	dev
CamelTB_BTEC_4	98	950	801	train
CamelTB_BTEC_5	103	942	807	train
CamelTB_BTEC_6	91	940	797	train
CamelTB_BTEC_7	113	927	806	train
CamelTB_BTEC_8	101	946	799	train
CamelTB_BTEC_9	98	936	799	train
CamelTB_BTEC_10	102	937	798	train
CamelTB_BTEC_11	103	922	800	train
CamelTB_BTEC_12	98	951	801	train
CamelTB_BTEC_13	103	943	806	train
CamelTB_BTEC_14	98	926	807	train
CamelTB_BTEC_15	105	953	817	train
CamelTB_BTEC_16	96	930	805	train
CamelTB_BTEC_17	107	936	798	train
CamelTB_BTEC_18	95	951	804	test
CamelTB_BTEC_19	104	924	795	test
CamelTB_BTEC_20	91	802	685	test
