file_name	sentence_count	tok_count	word_count	split_type
CamelTB_Hayy_01	70	1273	987	dev
CamelTB_Hayy_02	53	1139	839	dev
CamelTB_Hayy_03	62	1246	867	dev
CamelTB_Hayy_04	67	1425	1063	train
CamelTB_Hayy_05	74	1485	1089	train
CamelTB_Hayy_06	72	1407	1031	train
CamelTB_Hayy_07	71	1497	1150	train
CamelTB_Hayy_08	63	1241	957	train
CamelTB_Hayy_09	66	1437	1103	train
CamelTB_Hayy_10	57	1309	999	train
CamelTB_Hayy_11	58	1478	1084	train
CamelTB_Hayy_12	48	1238	921	train
CamelTB_Hayy_13	50	1182	883	train
CamelTB_Hayy_14	44	1168	865	train
CamelTB_Hayy_15	51	1266	919	train
CamelTB_Hayy_16	56	1187	881	train
CamelTB_Hayy_17	74	1672	1236	train
CamelTB_Hayy_18	51	1206	865	test
CamelTB_Hayy_19	66	1511	1073	test
CamelTB_Hayy_20	45	1216	866	test
