file_name	sentence_count	tok_count	word_count	split_type
CamelTB_OT_Genesis_1	33	759	578	dev
CamelTB_OT_Genesis_2	26	544	426	dev
CamelTB_OT_Genesis_3	25	613	463	dev
CamelTB_OT_Genesis_4	27	610	462	train
CamelTB_OT_Genesis_5	33	561	439	train
CamelTB_OT_Genesis_6	23	537	420	train
CamelTB_OT_Genesis_7	25	540	444	train
CamelTB_OT_Genesis_8	23	517	416	train
CamelTB_OT_Genesis_9	30	607	469	train
CamelTB_OT_Genesis_10	33	488	360	train
CamelTB_OT_Genesis_11	33	619	485	train
CamelTB_OT_Genesis_12	21	489	359	train
CamelTB_OT_Genesis_13	19	420	321	train
CamelTB_OT_Genesis_14	25	580	463	train
CamelTB_OT_Genesis_15	22	452	354	train
CamelTB_OT_Genesis_16	17	429	335	train
CamelTB_OT_Genesis_17	28	662	481	train
CamelTB_OT_Genesis_18	34	827	658	train
CamelTB_OT_Genesis_19	39	1015	773	test
CamelTB_OT_Genesis_20	19	519	391	test
