file_name	sentence_count	tok_count	word_count	split_type
CamelTB_QALB_1	50	712	577	dev
CamelTB_QALB_2	41	713	586	dev
CamelTB_QALB_3	51	730	589	dev
CamelTB_QALB_4	47	720	576	train
CamelTB_QALB_5	51	702	579	train
CamelTB_QALB_6	46	737	582	train
CamelTB_QALB_7	45	721	573	train
CamelTB_QALB_8	49	691	578	train
CamelTB_QALB_9	48	706	584	train
CamelTB_QALB_10	53	723	573	train
CamelTB_QALB_11	38	729	582	train
CamelTB_QALB_12	43	712	574	train
CamelTB_QALB_13	63	705	577	train
CamelTB_QALB_14	49	745	601	train
CamelTB_QALB_15	39	705	584	train
CamelTB_QALB_16	47	739	577	train
CamelTB_QALB_17	46	705	589	train
CamelTB_QALB_18	39	725	590	test
CamelTB_QALB_19	38	717	578	test
CamelTB_QALB_20	40	502	409	test
