file_name	sentence_count	tok_count	word_count	split_type
CamelTB_Quran_1_Al-Fatiha	7	59	50	dev
CamelTB_Quran_2_Al-Baqara_1	23	473	354	dev
CamelTB_Quran_2_Al-Baqara_2	16	483	353	dev
CamelTB_Quran_2_Al-Baqara_3	21	498	357	dev
CamelTB_Quran_2_Al-Baqara_4	15	501	357	dev
CamelTB_Quran_2_Al-Baqara_5	15	488	355	dev
CamelTB_Quran_2_Al-Baqara_6	15	496	360	train
CamelTB_Quran_2_Al-Baqara_7	16	472	365	train
CamelTB_Quran_2_Al-Baqara_8	17	500	360	train
CamelTB_Quran_2_Al-Baqara_9	15	509	355	train
CamelTB_Quran_2_Al-Baqara_10	18	470	361	train
CamelTB_Quran_2_Al-Baqara_11	14	503	373	train
CamelTB_Quran_2_Al-Baqara_12	12	497	360	train
CamelTB_Quran_2_Al-Baqara_13	17	495	378	train
CamelTB_Quran_2_Al-Baqara_14	14	537	384	train
CamelTB_Quran_2_Al-Baqara_15	9	533	378	train
CamelTB_Quran_2_Al-Baqara_16	13	488	358	train
CamelTB_Quran_2_Al-Baqara_17	10	515	387	train
CamelTB_Quran_2_Al-Baqara_18	13	475	352	train
CamelTB_Quran_2_Al-Baqara_19	11	522	374	train
CamelTB_Quran_2_Al-Baqara_20	2	126	82	train
CamelTB_Quran_3_Aal-Imran_1	12	269	210	train
CamelTB_Quran_3_Aal-Imran_2	9	286	209	train
CamelTB_Quran_3_Aal-Imran_3	9	264	209	train
CamelTB_Quran_3_Aal-Imran_4	11	306	225	train
CamelTB_Quran_3_Aal-Imran_5	11	310	222	train
CamelTB_Quran_3_Aal-Imran_6	12	293	213	train
CamelTB_Quran_3_Aal-Imran_7	11	291	223	train
CamelTB_Quran_3_Aal-Imran_8	9	303	216	train
CamelTB_Quran_3_Aal-Imran_9	13	290	233	train
CamelTB_Quran_3_Aal-Imran_10	11	280	211	train
CamelTB_Quran_3_Aal-Imran_11	10	286	219	train
CamelTB_Quran_3_Aal-Imran_12	12	289	213	train
CamelTB_Quran_3_Aal-Imran_13	14	294	224	train
CamelTB_Quran_3_Aal-Imran_14	10	387	282	test
CamelTB_Quran_3_Aal-Imran_15	10	299	224	test
CamelTB_Quran_3_Aal-Imran_16	11	284	212	test
CamelTB_Quran_3_Aal-Imran_17	9	294	215	test
CamelTB_Quran_3_Aal-Imran_18	11	356	250	test
CamelTB_Quran_3_Aal-Imran_19	5	116	91	test
CamelTB_Quran_101_Al-Qaria	11	83	69	test
CamelTB_Quran_102_Al-Takathur	8	57	52	test
CamelTB_Quran_103_Al-Asr	3	30	23	test
CamelTB_Quran_104_Al-Humaza	9	70	60	test
CamelTB_Quran_105_Al-Fyl	5	50	38	test
CamelTB_Quran_106_Quraysh	4	37	29	test
CamelTB_Quran_107_Al-Maaoun	7	54	46	test
CamelTB_Quran_108_Al-Kawthar	3	26	19	test
CamelTB_Quran_109_Al-Kafiroun	6	53	45	test
CamelTB_Quran_110_Al-Nasr	3	36	28	test
CamelTB_Quran_111_Al-Masad	5	46	38	test
CamelTB_Quran_112_Al-Ikhlas	4	30	27	test
CamelTB_Quran_113_Al-Falaq	5	42	38	test
CamelTB_Quran_114_Al-Nas	6	40	38	test
