file_name	sentence_count	tok_count	word_count	split_type
CamelTB_Sara_1	97	2270	1770	dev
CamelTB_Sara_2	98	2368	1808	dev
CamelTB_Sara_3	74	2391	1824	dev
CamelTB_Sara_4	74	2401	1826	train
CamelTB_Sara_5	78	2301	1770	train
CamelTB_Sara_6	79	2351	1773	train
CamelTB_Sara_7	86	2347	1778	train
CamelTB_Sara_8	67	2354	1812	train
CamelTB_Sara_9	94	2310	1790	train
CamelTB_Sara_10	70	2386	1815	train
CamelTB_Sara_11	62	2380	1771	train
CamelTB_Sara_12	75	2309	1781	train
CamelTB_Sara_13	120	2272	1769	train
CamelTB_Sara_14	112	2268	1770	train
CamelTB_Sara_15	66	2334	1772	train
CamelTB_Sara_16	62	2433	1782	train
CamelTB_Sara_17	56	2370	1770	train
CamelTB_Sara_18	71	2375	1780	test
CamelTB_Sara_19	88	2305	1768	test
CamelTB_Sara_20	56	1850	1427	test
