file_name	sentence_count	tok_count	word_count	split_type
CamelTB_ZAEBUC_AR-030-268469	12	218	170	dev
CamelTB_ZAEBUC_AR-030-81757	18	313	229	dev
CamelTB_ZAEBUC_AR-030-87953	12	207	164	dev
CamelTB_ZAEBUC_AR-030-89249	11	125	101	dev
CamelTB_ZAEBUC_AR-030-92524	15	228	175	dev
CamelTB_ZAEBUC_AR-030-92800	4	61	56	dev
CamelTB_ZAEBUC_AR-030-93360	14	274	217	dev
CamelTB_ZAEBUC_AR-030-96339	11	175	141	dev
CamelTB_ZAEBUC_AR-030-97791	9	175	136	dev
CamelTB_ZAEBUC_AR-130-119813	3	47	38	dev
CamelTB_ZAEBUC_AR-130-165949	9	179	146	dev
CamelTB_ZAEBUC_AR-130-187968	19	307	239	dev
CamelTB_ZAEBUC_AR-130-188847	5	99	73	dev
CamelTB_ZAEBUC_AR-130-189750	10	209	169	dev
CamelTB_ZAEBUC_AR-130-189799	13	222	174	dev
CamelTB_ZAEBUC_AR-130-189921	9	142	120	train
CamelTB_ZAEBUC_AR-130-190122	9	148	117	train
CamelTB_ZAEBUC_AR-130-190307	9	223	163	train
CamelTB_ZAEBUC_AR-130-190745	8	123	97	train
CamelTB_ZAEBUC_AR-130-190808	9	183	153	train
CamelTB_ZAEBUC_AR-130-190863	6	171	135	train
CamelTB_ZAEBUC_AR-130-191075	6	80	69	train
CamelTB_ZAEBUC_AR-130-191743	16	283	221	train
CamelTB_ZAEBUC_AR-130-191809	13	182	147	train
CamelTB_ZAEBUC_AR-130-192387	6	104	78	train
CamelTB_ZAEBUC_AR-130-192949	6	149	127	train
CamelTB_ZAEBUC_AR-130-193451	9	141	121	train
CamelTB_ZAEBUC_AR-130-194708	3	38	33	train
CamelTB_ZAEBUC_AR-130-194718	14	298	246	train
CamelTB_ZAEBUC_AR-130-195100	14	209	155	train
CamelTB_ZAEBUC_AR-130-19632	6	113	88	train
CamelTB_ZAEBUC_AR-130-197898	6	146	113	train
CamelTB_ZAEBUC_AR-130-198249	14	202	178	train
CamelTB_ZAEBUC_AR-130-19883	11	199	167	train
CamelTB_ZAEBUC_AR-130-199101	17	341	275	train
CamelTB_ZAEBUC_AR-130-288874	4	90	74	train
